brand,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
South African Visa Applications,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
South African Visa Center,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
South African Visa Experts,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
South African Visas,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Southern African Tax Institute,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Southern Star Immigration,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SovTech,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sovereign Group,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sovereign Trust (SA) Ltd,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sovereign Trust South Africa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sovereign Wealth,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Specialised Applications,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Specialised Applications (Pty) Ltd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Specialized Engineering Solutions,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Specialized Exhibitions,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Specialized Solar Systems,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spoor & Fisher,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Standard Bank Wealth and Investment:,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Status Global,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Status Migration,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Status Solutions,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Status Update,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Stellenbosch University Business School,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Stratasat,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Study Abroad Agency,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Study Abroad South Africa,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Study Visa South Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
StudyTrust:,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sure Travel,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Suren Forex,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SwiftReg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sygnia Asset Management:,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Synthesis Software Technologies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TFP Tax & Forensic Practitioners,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TFS Holdings,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TFS Holdings (Pty) Ltd,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TIKKUN Immigration Services,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TMT Crypto Solutions,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TSS (Training & Support Solutions),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Talent Africa,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tara Hospital:,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tax Advisors and Practitioners (TAP),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Attorney,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Consulting SA (Pty) Ltd:,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Advice,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tax Debt Advisory,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tax Debt Busters,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Company,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Compliance (Pty) Ltd,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Compliance (TDC),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Compromise,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Fix,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Gone,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Help SA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tax Debt Insure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Lawyers,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Management (Pty) Ltd:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt One,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Relief SA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Rescue:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tax Debt Solutions South Africa,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tax Debt Solved,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Specialists SA:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Specialists:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Wizards,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Emigration,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Emigration South Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Faculty,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tax Genius,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tax Guru South Africa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Indaba,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Law Home,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Law Solutions,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Lawyers South Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Matrix,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tax Migration,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Relief Experts,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Resolve,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tax Samaritan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tax Shark,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Shop Accountants,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tax Shop Consulting,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Solutions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Solutions SA:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Solutions South Africa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tax Specialists,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Timber,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tax exemption is a highly complex legal matter that depends on individual circumstances and specific provisions of tax law. Providing a list of companies for this purpose would constitute giving financial and legal advice, which I am not equipped to do.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax-Rite,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TaxCare,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TaxCrypto,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TaxGuru,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TaxLawHouse,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TaxMatters,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TaxProAfrica,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Taxation Services,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Taxation Solutions SA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Taxco Accountants:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Taxco:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Taxpert,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Taxsure,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Taxwise Consulting,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TeleportVisa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tender Bulletins:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tender Capital:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TenderConnect:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tetra Immigration,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Assessment Toolbox,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Bridge Centre for Psychosocial Support:,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The British Immigration Advice Service,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Centre for Assessment,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Corporate Governance Group,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Counselling Hub:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Debt Counsellors,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Department of Employment and Labour,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Document Warehouse,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Graduate Institute of Management and Technology (GIMT),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Immigration Advisory Service,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Mind Room,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Skills Portal,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The South African Depression and Anxiety Group (SADAG),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Tax Specialists,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Tender Factory:,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Visa Firm,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Think Ahead Education Solutions,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Thomas International South Africa (,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TokenTax,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Travel Visa Consultants (TVC):,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TravelVisaPro,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Trust Immigration,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Turnaround 360,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Turnaround Management Association Southern Africa (TMA-SA),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Turnaround Strategies,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Turnaround Tax Consultants,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Turnkey Business Solutions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Turnkey Tax Solutions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TymeBank,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UK Visa & Immigration,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UK Visa Experts,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VDMA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VFS Global (Service Partner),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VISA HQ South Africa,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
VISA Pro,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
VISA SERVICES,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Van Der Merwe Associates,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Videsh Immigration:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Visa & Immigration Consulting,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Visa & Immigration Experts SA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Visa & Immigration Services South Africa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visa & Migration Services,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Visa & Permit Experts,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Visa & Permit Renewal,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Visa & Permit Renewal South Africa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Visa & Permits (Pty) Ltd:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Visa 4 SA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Visa Application SA:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Visa Assist,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Visa Box Immigration,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Visa Business Services,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Visa Center South Africa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Visa Connection,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Visa Connection SA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Visa Facilitation Services (VFS Global),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visa Facilitation Services Global (VFS Global),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visa Facilitation Services South Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Visa Genie:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Visa House,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Visa Hub South Africa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Visa Plan Immigration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Visa SA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Visa World,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Visa and Immigration,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Visa and Immigration Services (VIB),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visa and Immigration Services South Africa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visa and Migration,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VisaBox Africa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VisaConnect South Africa:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VisaNet,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VisaPlace,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VisaPro South Africa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visalogic,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Visas Avenue,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Visas Direct,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Visas Zone,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Visas for Africa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Visas4SA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Visas4U,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Visaserve,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Volunteer Abroad,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Volunteer South Africa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volunteer Southern Africa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W&RSETA:,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WJ van der Merwe & Co,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Webber Wentzel Tax Practice,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Werksmans Attorneys (Business Rescue, Restructuring & Insolvency):",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Westgate Immigration,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Whipping The Cat,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Work Global Canada,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Work Visa Bureau,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Work Visa Pro,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Work Visa Services,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Work Visa Solutions,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
XPat,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xero Tax Solutions,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
XpatWeb Tax Services,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
XpatwWeb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Abrahamâ€™s Worldwide Visa,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[Absa Bank South,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[Adzuna South,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[Africa Immigration,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
[Allan,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[Allan Gray South,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[Aurecon,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[BNP Paribas South,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[Baker McKenzie South,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[Bidvest,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
[Blevins Franks South,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[Blockchain Analytics South,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[Bowman,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[Bowman Gilfillan Africa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[Business Accounts,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[Capitec,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[Coronation Fund Managers South,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[Corporate Accounts South,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[Corporate Financial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[Cross Border Financial,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[Cross-Border Tax,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[DOH,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[DOH Corporate Accounts (via DOH,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[DOH Corporate Accounts (via DOH Business,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[DOH Corporate Accounts (via DOH Financial,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[Debt Review South,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[Dentons South,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[Department of Home Affairs (DHA),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Digital Nomad Visa South,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[Discovery Invest South,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[Ellipse,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[Epicor South,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[Expat Cape,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[FNB South,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[Genus,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[Genus Audit &,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[Genus Auditing &,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[Go,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[HR,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[IFS South,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[Immigration South Africa (Legal,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[Intergate Immigration (South,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[Investec South,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[Investec Wealth &,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[Legal Advice,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[Liberty Financial,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[Manpower South,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[Mindworx Psychological,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[Momentum Private,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[Nedbank South,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[Newland Chase (a part of Newland Chase South,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[Newland Chase (a part of Santa Fe,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[Newland Chase (part of Sable,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[Old Mutual Foreign,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[Old Mutual Wealth South,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
[PsySSA (Psychological Society of South,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[RSM South,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[Rand Merchant Bank (RMB) Private,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[Randburg Tax,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[Remote Work South,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[SARB (South African Reserve,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[SARS (South African Revenue,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[SARS-Approved Tax,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[Safari,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[Sanlam South,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[South African Department of Home Affairs](,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[Standard Bank South,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Tax & Advisory Services South,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[Tax & Compliance South,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[Tax & Legal Advisory,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[Tax & Wealth,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[Tax Advisory Services South,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[Tax Compliance,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[Tax Compliance South,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[Tax Consultants South,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[Tax Experts South,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[Tax Practitioners Association of South Africa,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[Tax Practitioners South Africa,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[Tax Solutions South,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
[TaxAssist South,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[The South African Association for Child and Adolescent Psychiatry,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[The South African Association for Counselling and Psychotherapy,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[The South African Association for Psychological Science,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
[The South African Association of Social Workers,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[The South African College of Applied Psychology (SACAP)](,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[The South African Department of Home Affairs](,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[The South African Depression and Anxiety Group,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[The South African Society of Clinical Hypnosis,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[The South African Society of Psychiatrists,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[Unit4 South,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[VFS Global (Australian Visa Application,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[VFS Global (UK Visa Application Centre)](,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[VFS Global (US Visa Application,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[Visa Application Centre,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
[Visa Bureau South,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[Visa Expert South,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Visa South,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[VisaPro South,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[Vox,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[Workday South,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[Workforce South,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eTax,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
